CATEGORY,,INDEPENDENT VARIABLES,,,,,,,DEPENDENT VARIABLES,,,,
Dates,Entity ID,Log Board_Size,PCT_IND_DIR,PCT_Women_On_Board,CEO_DUALITY,Log_Audit_Comm,BOARD_AVERAGE_TENURE,EQY_INST_PCT_SH_OUT,TOT_DEBT_TO_TOT_EQY,RETURN_ON_ASSET,RETURN_COM_EQY,EPS_GROWTH,TOBIN_Q_RATIO
3,16,2.485,0.917,0.167,0,1.609437912,5.63,1.07318,0.77892,0.014779,0.026372,-0.552036,0.01669
4,16,2.303,0.9,0.1,0,1.386294361,5.53,1.17428,1.020916,0.014666,0.02828,0.222222,0.015639
5,16,2.197,0.889,0.111,0,1.386294361,6.99,1.18713,1.015627,0.024758,0.058481,0.958678,0.017259
6,16,2.485,0.917,0.25,0,1.609437912,6.23,1.17159,0.799067,0.012052,0.021042,-0.57384,0.016193
7,16,2.398,0.909,0.273,0,1.386294361,7.49,1.22637,0.807632,0.047187,0.09888,4.893806,0.019089
8,16,2.398,0.909,0.273,0,1.386294361,7.76,1.1426,0.920789,0.009707,0.019787,-0.801772,0.012981
1,17,1.946,0.714,0,0,1.386294361,2.5,0.79035,0.438287,0.009621,0.013625,0,0.012705
2,17,1.946,0.714,0,0,1.386294361,3.5,1.01846,0.547964,0.013245,0.020383,0.466667,0.012907
3,17,1.946,0.857,0,0,1.386294361,4.5,1.08125,0.57714,0.010818,0.017767,0.045455,0.011899
4,17,2.079,0.875,0.125,0,1.386294361,4.94,0.95125,0.619984,0.013538,0.022623,0.304348,0.011315
5,17,2.079,0.875,0.125,0,1.098612289,5.94,1.024,0.676693,0.017547,0.030604,0.3,0.012736
6,17,2.079,0.875,0.125,0,1.386294361,6.94,1.10825,0.551515,0.015094,0.025692,-0.179487,0.012467
7,17,2.079,0.875,0.125,0,1.098612289,7.94,1.01904,0.673613,0.017499,0.030653,0.21875,0.01269
8,17,2.197,0.889,0.222,0,1.098612289,8.04,0.98182,0.641661,0.020305,0.036581,0.179487,0.010993
1,18,2.303,0.7,0.1,0,1.386294361,18.87,0.99374,1.813241,0.029568,0.08502,-0.026144,0.01751
2,18,2.197,0.667,0.111,0,1.098612289,18.56,1.00334,1.6928,0.05477,0.16018,0.966443,0.019988
3,18,2.303,0.7,0.1,0,1.098612289,17.65,1.00926,1.475486,0.044024,0.119935,-0.163823,0.02189
4,18,2.303,0.7,0.1,0,1.098612289,18.65,1.01619,1.222265,0.043333,0.107116,0.020408,0.021471
5,18,2.197,0.667,0.111,0,1.098612289,19.44,0.85169,0.993571,0.054,0.115669,0.3,0.025568
6,18,2.303,0.7,0.2,0,1.386294361,18.44,0.97502,1.040594,0.041149,0.087736,-0.147692,0.025467
7,18,2.079,0.75,0.25,0,1.098612289,13.55,1.03066,0.938411,0.053084,0.110967,0.411552,0.034361
8,18,2.197,0.778,0.222,0,1.098612289,13.04,1.04374,0.96325,0.051352,0.105693,0.117647,0.021147
1,19,2.398,0.909,0.182,0,1.386294361,8.18,0.97556,2.141706,0.040712,0.166328,0.091549,0.024199
2,19,2.398,0.909,0.182,0,1.386294361,8.09,1.04485,1.933064,0.050372,0.197443,0.245161,0.025217
3,19,2.303,0.9,0.3,0,1.098612289,8.59,1.05576,1.999939,0.055745,0.214775,0.129534,0.029363
4,19,2.197,0.889,0.333,0,1.098612289,8.49,1.05388,1.967875,0.056427,0.210762,0.09633,0.029391
5,19,2.197,0.778,0.333,0,1.386294361,9.49,0.99031,1.834208,0.069119,0.235412,0.288703,0.037865
6,19,2.303,0.8,0.3,0,1.386294361,9.53,1.00179,2.056573,0.053274,0.183828,-0.181818,0.033337
7,19,2.303,0.8,0.3,0,1.386294361,10.01,0.97011,2.223757,0.05397,0.198174,0.134921,0.037993
8,19,2.303,0.8,0.3,0,1.386294361,11.01,1.01599,2.25111,0.052707,0.198993,0.06993,0.029259
1,20,2.197,0.778,0.111,0,1.098612289,8.72,1.32141,2.375265,0.020704,0.074877,0,0.025481
2,20,2.303,0.8,0.1,0,1.098612289,8.85,1.09143,1.548291,0.011043,0.035662,-0.498462,0.02678
3,20,2.197,0.778,0.111,0,1.098612289,10.72,1.04981,1.471639,0.014887,0.041546,0.858896,0.0255
4,20,2.197,0.778,0.111,0,1.098612289,10.45,1.09233,1.569755,0.018767,0.051938,0.511551,0.020492
5,20,2.303,0.8,0.1,0,1.098612289,10.33,1.00689,1.503025,0.022956,0.063195,0.316594,0.027089
6,20,2.303,0.8,0.3,0,1.098612289,9.38,1.01879,1.309308,0.014509,0.037975,-0.300166,0.029634
7,20,2.197,0.778,0.333,0,1.098612289,9.3,1.04101,1.377766,0.018213,0.046495,0.319905,0.033542
8,20,2.398,0.818,0.364,0,1.098612289,8.53,1.04053,1.431409,0.024192,0.062922,0.38061,0.02622
1,21,2.565,0.846,0.231,0,1.791759469,8.43,1.02867,0.969656,0.037781,0.083201,0.369942,0.018363
2,21,2.565,0.846,0.231,0,1.609437912,9.43,1.00656,0.824286,0.195925,0.415912,3.957552,0.016451
3,21,2.485,0.833,0.25,0,1.609437912,9.99,0.98352,0.826256,0.029241,0.058868,-0.860418,0.016448
4,21,2.485,0.833,0.25,0,1.791759469,9.63,0.97255,0.818085,0.032102,0.064347,0.085366,0.016987
5,21,2.565,0.769,0.231,0,1.609437912,8.54,0.97255,0.85105,0.04669,0.094766,0.466292,0.01935
6,21,2.565,0.769,0.308,0,1.386294361,8.16,0.95979,0.754194,0.044073,0.087693,-0.061303,0.015709
7,21,2.485,0.75,0.333,0,1.609437912,9.03,0.95125,0.740514,0.064302,0.124242,0.453061,0.020897
8,21,2.303,0.7,0.3,0,1.386294361,10.9,0.96954,0.661012,0.037543,0.070176,-0.421348,0.015535
1,22,2.485,0.833,0.083,0,1.386294361,14.49,1.06713,0.839754,0.019725,0.037458,0.690821,0.017902
2,22,2.197,0.778,0.111,0,1.098612289,17.16,1.15715,0.883579,0.034259,0.066546,0.794286,0.017402
3,22,2.197,0.778,0.111,0,1.098612289,18.16,1.01865,0.891993,0.035047,0.069458,0.047771,0.017736
4,22,2.197,0.778,0.333,0,1.386294361,13.74,1.1628,0.881164,0.031364,0.062203,-0.101824,0.018026
5,22,2.197,0.778,0.333,0,1.386294361,14.74,1.02187,0.921379,0.035018,0.070356,0.128596,0.020754
6,22,2.197,0.778,0.333,0,1.098612289,14.76,1.0427,1.022775,0.044371,0.093098,0.302849,0.017291
7,22,2.197,0.778,0.333,0,1.098612289,15.76,1.15428,1.028344,0.037677,0.081466,-0.135788,0.02307
8,22,2.303,0.7,0.4,0,1.098612289,15.11,1.17301,1.021575,0.032188,0.069738,-0.165113,0.016445
1,23,1.946,0.571,0.143,0,1.386294361,11.07,1.04144,1.490186,0.036251,0.099032,0.025974,0.024592
2,23,1.946,0.571,0.143,0,1.386294361,11.95,1.19215,1.658686,0.05563,0.168957,0.848101,0.020545
3,23,1.946,0.571,0.143,0,1.386294361,12.52,1.16829,1.672004,0.065833,0.208464,0.297945,0.021619
4,23,1.946,0.571,0.286,0,1.386294361,11.56,1.27718,1.727392,0.054254,0.174327,-0.131926,0.021578
5,23,2.079,0.75,0.25,0,1.386294361,11.07,1.03749,1.821296,0.051277,0.169557,-0.006079,0.023058
6,23,2.197,0.778,0.222,0,1.386294361,10.56,1.06338,2.046844,0.053745,0.189388,0.134557,0.023486
7,23,2.197,0.889,0.222,0,1.386294361,11.56,1.04422,1.635273,0.083305,0.292235,0.671159,0.036013
8,23,2.303,0.9,0.2,0,1.386294361,11.33,1.03876,1.853847,0.076026,0.269973,0.033871,0.02352
1,24,1.792,0.833,0,0,1.098612289,10.25,1.03132,1.286094,0.027893,0.069557,2.722222,0.015107
2,24,1.946,0.714,0,0,1.098612289,9.69,1.03643,1.048627,0.04406,0.104757,0.567164,0.017316
3,24,2.079,0.75,0.125,0,1.386294361,9.38,0.98421,0.878797,0.070263,0.150946,0.619048,0.017973
4,24,2.079,0.75,0.125,0,1.386294361,10.38,0.98536,0.772531,0.053664,0.10623,-0.229412,0.016363
5,24,2.079,0.75,0.125,0,1.386294361,11.38,1.0033,0.837438,0.071688,0.139744,0.442748,0.019967
6,24,1.946,0.857,0.286,0,1.386294361,9.55,1.01158,0.830612,0.053617,0.106889,-0.190476,0.01932
7,24,1.946,0.857,0.286,0,1.386294361,9.08,0.97433,0.726131,0.067995,0.132127,0.366013,0.025618
8,24,1.946,0.857,0.286,0,1.386294361,10.08,0.994,0.825423,0.078642,0.154184,0.301435,0.017908
1,25,1.946,0.857,0.286,0,1.386294361,12.77,1.01738,1.376772,0.04445,0.129106,0.256198,0.027304
2,25,1.946,0.857,0.286,0,1.386294361,13.77,0.97973,1.260831,0.048362,0.137754,0.154605,0.025239
3,25,1.946,0.857,0.286,0,1.386294361,11.67,1.0295,1.296957,0.049562,0.141137,0.131054,0.022111
4,25,1.946,0.857,0.286,0,1.386294361,12.67,1.01846,1.240314,0.038504,0.108962,-0.198992,0.020459
5,25,1.946,0.714,0.286,0,1.098612289,12.01,0.94975,1.26168,0.054089,0.151636,0.449686,0.020815
6,25,2.197,0.778,0.333,0,1.386294361,10.19,1.00498,1.651189,0.018289,0.052853,-0.64859,0.015556
7,25,1.946,0.857,0.429,0,1.386294361,9.18,0.99238,1.45723,0.03434,0.107288,1.012346,0.020882
8,25,1.946,0.857,0.429,0,1.386294361,9.65,1.0235,1.392982,0.048623,0.144764,0.444785,0.016588
1,27,2.303,0.9,0.1,0,1.098612289,4.98,0.90843,1.033873,0.023408,0.055289,0,0.01373
2,27,2.197,0.889,0.111,0,1.098612289,5.96,0.90367,1.046368,0.033469,0.082106,0.595016,0.013098
3,27,2.303,0.9,0.2,0,1.386294361,6.28,0.91416,0.896315,0.025718,0.058568,-0.205078,0.013711
